dropped_gene,replacement,co_occurrences,pearson_r
PAGE4,SFTPC,35,-0.145
PAGE4,FXYD2,32,-0.225
PAGE4,CHRNA2,31,0.895
PAGE4,CPNE4,29,0.774
AGXT2,NAPSA,46,0.229
AGXT2,SFTPC,40,-0.187
AGXT2,CHRNA2,36,-0.242
AGXT2,CPNE4,36,-0.327
AGXT2,FXYD2,33,0.88
ACSM3,NAPSA,26,0.296
ACSM3,SFTPC,24,0.132
ACSM3,FXYD2,20,0.348
ACSM3,CPNE4,18,0.428
ACSM3,CHRNA2,17,0.453
TMEFF2,NAPSA,24,-0.22
TMEFF2,FXYD2,19,-0.25
TMEFF2,CPNE4,18,0.827
TMEFF2,SFTPC,18,-0.135
TMEFF2,POU3F3,18,-0.23
ARSE,NAPSA,51,0.455
ARSE,SFTPC,45,0.183
ARSE,CHRNA2,40,-0.525
ARSE,FXYD2,40,0.623
ARSE,CPNE4,39,-0.447
C9ORF152,NAPSA,49,-0.233
C9ORF152,SFTPC,42,0.117
C9ORF152,CHRNA2,40,0.408
C9ORF152,CPNE4,38,0.429
C9ORF152,FXYD2,38,-0.809
SLC6A13,NAPSA,27,0.282
SLC6A13,SFTPC,25,-0.124
SLC6A13,CHRNA2,23,-0.134
SLC6A13,CPNE4,23,-0.218
SLC6A13,C20ORF151,19,-0.87
HOXB13,NAPSA,21,-0.307
HOXB13,SFTPC,16,-0.182
HOXB13,C20ORF151,15,0.411
HOXB13,PCA3,15,0.704
HOXB13,FXYD2,15,-0.337
CDH16,NAPSA,24,0.272
CDH16,SFTPC,22,-0.113
CDH16,CHRNA2,20,-0.282
CDH16,CPNE4,20,-0.332
CDH16,PCA3,19,-0.108
ACPP,NAPSA,24,-0.115
ACPP,CPNE4,21,0.851
ACPP,SFTPC,19,0.016
ACPP,CHRNA2,17,0.885
ACPP,GAL3ST1,15,-0.218
C17ORF93,NAPSA,35,-0.301
C17ORF93,CPNE4,30,0.705
C17ORF93,CHRNA2,28,0.783
C17ORF93,SFTPC,28,-0.193
C17ORF93,FXYD2,24,-0.312
PAX2,NAPSA,46,-0.051
PAX2,CHRNA2,38,-0.136
PAX2,SFTPC,38,-0.387
PAX2,CPNE4,35,-0.278
PAX2,FXYD2,34,0.71
IGSF9,NAPSA,40,-0.275
IGSF9,SFTPC,35,0.095
IGSF9,CHRNA2,33,0.162
IGSF9,CPNE4,32,0.236
IGSF9,FXYD2,31,-0.854
TESC,NAPSA,50,0.386
TESC,SFTPC,43,0.32
TESC,CHRNA2,39,0.234
TESC,CPNE4,38,0.337
TESC,FXYD2,38,0.165
SCGB3A2,NAPSA,24,0.799
SCGB3A2,SFTPC,22,0.887
SCGB3A2,C14ORF105,18,-0.009
SCGB3A2,CPNE4,18,0.082
SCGB3A2,PCA3,18,-0.233
ACSM2B,NAPSA,36,0.229
ACSM2B,SFTPC,33,-0.191
ACSM2B,CHRNA2,28,-0.222
ACSM2B,ENPP1,27,-0.27
ACSM2B,CPNE4,27,-0.31
C15ORF21,NAPSA,37,-0.228
C15ORF21,SFTPC,32,-0.111
C15ORF21,CPNE4,28,0.777
C15ORF21,FXYD2,27,-0.359
C15ORF21,CHRNA2,26,0.863
GALNT12,NAPSA,27,0.43
GALNT12,CHRNA2,23,0.133
GALNT12,CPNE4,23,0.251
GALNT12,SFTPC,22,0.335
GALNT12,SLC4A4,20,0.493
SLC28A1,NAPSA,32,0.214
SLC28A1,SFTPC,28,-0.182
SLC28A1,FXYD2,25,0.875
SLC28A1,CHRNA2,24,-0.309
SLC28A1,CPNE4,23,-0.364
KLK15,NAPSA,45,-0.282
KLK15,SFTPC,41,-0.194
KLK15,FXYD2,36,-0.216
KLK15,CHRNA2,35,0.79
KLK15,CPNE4,35,0.667
BEND4,NAPSA,25,-0.119
BEND4,SFTPC,24,-0.05
BEND4,CHRNA2,22,0.855
BEND4,C20ORF151,20,0.166
BEND4,ST6GALNAC1,20,0.388
LMO7,NAPSA,49,0.5
LMO7,SFTPC,44,0.511
LMO7,CHRNA2,39,0.037
LMO7,CPNE4,38,0.207
LMO7,FXYD2,38,0.021
SFTPA2,NAPSA,10,0.556
SFTPA2,CHRNA2,8,0.346
SFTPA2,SLC4A4,8,0.274
SFTPA2,TMPRSS2,8,0.595
SFTPA2,SFTPC,8,0.742
IHH,NAPSA,15,0.006
IHH,PCA3,12,0.454
IHH,SFTPC,12,-0.047
IHH,KLK4,12,0.199
IHH,CHRNA2,11,0.367
DHDPSL,NAPSA,47,0.211
DHDPSL,SFTPC,42,-0.129
DHDPSL,CHRNA2,37,-0.125
DHDPSL,FXYD2,37,0.762
DHDPSL,CPNE4,35,-0.202
TFAP2A,NAPSA,11,-0.446
TFAP2A,CHRNA2,9,0.096
TFAP2A,FXYD2,9,-0.659
TFAP2A,GAL3ST1,8,-0.785
TFAP2A,CPNE4,8,0.1
ADIPOQ,NAPSA,40,-0.394
ADIPOQ,SFTPC,37,-0.271
ADIPOQ,CHRNA2,32,-0.245
ADIPOQ,CPNE4,32,-0.327
ADIPOQ,FXYD2,29,-0.279
RDH11,NAPSA,33,-0.245
RDH11,SFTPC,27,-0.181
RDH11,CHRNA2,24,0.885
RDH11,CPNE4,23,0.766
RDH11,PCA3,23,0.884
TMEM140,NAPSA,44,0.27
TMEM140,SFTPC,38,-0.059
TMEM140,CHRNA2,34,-0.245
TMEM140,FXYD2,33,0.829
TMEM140,CPNE4,32,-0.278
PAX8,NAPSA,18,0.226
PAX8,CHRNA2,15,-0.316
PAX8,SFTPC,15,-0.114
PAX8,FXYD2,14,0.804
PAX8,ST6GALNAC1,14,-0.33
SLC3A1,NAPSA,31,0.121
SLC3A1,SFTPC,26,-0.255
SLC3A1,FLJ45983,26,-0.437
SLC3A1,FXYD2,25,0.828
SLC3A1,CHRNA2,23,-0.154
NKX2-1,NAPSA,13,0.772
NKX2-1,CHRNA2,11,-0.04
NKX2-1,CPNE4,11,0.255
NKX2-1,ENPP1,10,-0.464
NKX2-1,PCA3,10,-0.077
MET,NAPSA,45,0.502
MET,SFTPC,37,0.288
MET,FXYD2,35,0.574
MET,CPNE4,34,-0.244
MET,CHRNA2,33,-0.383
EMX2OS,NAPSA,24,-0.127
EMX2OS,CHRNA2,23,-0.185
EMX2OS,SFTPC,22,-0.444
EMX2OS,CPNE4,21,-0.354
EMX2OS,POU3F3,20,0.803
SCGB2A2,NAPSA,13,-0.424
SCGB2A2,CHRNA2,12,-0.216
SCGB2A2,CPNE4,11,-0.29
SCGB2A2,ENPP1,10,0.672
SCGB2A2,SFTPC,10,-0.274
MCTP2,NAPSA,13,0.411
MCTP2,CPNE4,10,0.383
MCTP2,FXYD2,10,0.258
MCTP2,SFTPC,9,0.277
MCTP2,ENPEP,8,0.101
CAPN5,NAPSA,35,0.184
CAPN5,SFTPC,31,0.137
CAPN5,CHRNA2,30,0.314
CAPN5,FXYD2,29,0.087
CAPN5,CPNE4,28,0.349
OVOL2,NAPSA,25,-0.241
OVOL2,SFTPC,23,0.138
OVOL2,FXYD2,21,-0.883
OVOL2,CHRNA2,19,0.245
OVOL2,CPNE4,18,0.304
PRAC,NAPSA,33,-0.268
PRAC,SFTPC,31,-0.19
PRAC,CPNE4,26,0.758
PRAC,FXYD2,26,-0.268
PRAC,PCA3,25,0.865
GATA3,SFTPC,9,-0.272
GATA3,FXYD2,8,-0.342
GATA3,NAPSA,8,-0.428
GATA3,KLKP1,7,0.083
GATA3,CHRNA2,7,-0.156
KLK2,NAPSA,16,-0.291
KLK2,CPNE4,14,0.816
KLK2,FXYD2,14,-0.294
KLK2,CHRNA2,13,0.94
KLK2,SFTPC,12,-0.192
KLK3,NAPSA,13,-0.298
KLK3,SFTPC,11,-0.206
KLK3,FXYD2,11,-0.275
KLK3,PCA3,10,0.912
KLK3,CHRNA2,10,0.93
EFHD1,NAPSA,13,-0.33
EFHD1,SFTPC,12,-0.32
EFHD1,ST6GALNAC1,12,-0.65
EFHD1,PCA3,11,-0.318
EFHD1,FLJ45983,11,0.696
LMX1B,SFTPC,5,-0.248
LMX1B,CHRNA2,5,-0.022
LMX1B,CPNE4,5,-0.078
LMX1B,C14ORF105,5,-0.517
LMX1B,THRSP,5,0.67
HKDC1,NAPSA,10,0.574
HKDC1,CHRNA2,9,-0.392
HKDC1,SFTPC,8,0.324
HKDC1,CPNE4,8,-0.258
HKDC1,FXYD2,8,0.585
C8ORF85,NAPSA,16,-0.264
C8ORF85,PCA3,12,-0.373
C8ORF85,SFTPC,12,-0.09
C8ORF85,CHRNA2,12,-0.272
C8ORF85,CPNE4,11,-0.284
SFTPA1,SFTPC,8,0.922
SFTPA1,NAPSA,8,0.814
SFTPA1,C20ORF151,7,0.098
SFTPA1,CHRNA2,6,-0.067
SFTPA1,SLC4A4,6,0.168
HSD17B11,NAPSA,24,0.501
HSD17B11,SFTPC,21,0.356
HSD17B11,CPNE4,20,0.166
HSD17B11,FLJ45983,20,-0.669
HSD17B11,FXYD2,18,0.337
SHH,NAPSA,16,0.347
SHH,SFTPC,15,0.211
SHH,FXYD2,13,0.316
SHH,C20ORF151,12,-0.198
SHH,CPNE4,12,0.099
EN1,SFTPC,15,-0.326
EN1,FXYD2,14,-0.13
EN1,NAPSA,13,-0.406
EN1,ENPP1,12,0.466
EN1,CPNE4,12,-0.373
FZD5,NAPSA,13,0.344
FZD5,ST6GALNAC1,12,0.535
FZD5,CPNE4,12,0.322
FZD5,CHRNA2,12,0.292
FZD5,FXYD2,11,0.228
C9ORF167,NAPSA,15,0.551
C9ORF167,SFTPC,13,0.38
C9ORF167,ST6GALNAC1,13,0.213
C9ORF167,ENPP1,12,-0.57
C9ORF167,FLJ45983,12,-0.506
NKX3-1,SFTPC,19,-0.169
NKX3-1,NAPSA,19,-0.32
NKX3-1,FXYD2,18,-0.387
NKX3-1,PCA3,16,0.795
NKX3-1,ST6GALNAC1,15,0.261
HNF1B,TMPRSS2,2,0.053
HNF1B,FOXA2,2,0.543
HNF1B,?|553137,2,0.491
HNF1B,KLKP1,2,-0.165
HNF1B,CHRNA2,2,0.076
PRLR,NAPSA,10,-0.515
PRLR,GCNT3,9,-0.491
PRLR,CHRNA2,9,-0.246
PRLR,TMPRSS2,8,-0.212
PRLR,KLK4,8,0.016
FOXF1,NAPSA,8,0.342
FOXF1,KLKP1,7,0.169
FOXF1,SFTPC,7,0.246
FOXF1,ST6GALNAC1,7,0.552
FOXF1,CPNE4,6,0.404
C20ORF56,NAPSA,8,0.42
C20ORF56,ST6GALNAC1,7,0.748
C20ORF56,SFTPC,6,0.53
C20ORF56,C20ORF151,6,0.272
C20ORF56,PCA3,6,0.11
SFTPB,PBX1,3,-0.328
SFTPB,GCNT3,3,0.427
SFTPB,POU3F3,3,-0.208
SFTPB,NAPSA,3,0.829
SFTPB,ENPP1,3,-0.461
SCTR,NAPSA,16,0.861
SCTR,CHRNA2,15,-0.287
SCTR,FXYD2,14,0.456
SCTR,CPNE4,13,-0.079
SCTR,ENPP1,12,-0.554
SLC45A3,NAPSA,11,-0.178
SLC45A3,SFTPC,11,-0.087
SLC45A3,CHRNA2,10,0.884
SLC45A3,POU3F3,10,-0.27
SLC45A3,ST6GALNAC1,10,0.483
SFTA3,CHRNA2,4,-0.123
SFTA3,NAPSA,4,0.828
SFTA3,CAMKK2,3,-0.24
SFTA3,GCNT3,3,0.392
SFTA3,SFTPC,3,0.882
TRPS1,PCA3,1,-0.24
TRPS1,AGR2,1,0.088
TRPS1,SFTPC,1,-0.299
TRPS1,CDH17,1,-0.606
TRPS1,CHRNA2,1,-0.139
